ProductID,ProductName,ProductBrand,Gender,Price,NumImages,ID,Description,PrimaryColor
10060073,CODE by Lifestyle Men Yellow & White Regular Fit Checked Casual Shirt,CODE by Lifestyle,Men,849,5,10060073,"Yellow and White checked casual shirt, has a spread collar, long sleeves, snap button placket, curved hem, and 1 patch pocket",Yellow
10046853,Roadster Men Black Slim Fit Mid-Rise Clean Look Stretchable Jeans,Roadster,Men,1299,7,10046853,"Black dark wash 5-pocket mid-rise jeans, clean look, heavy fade, has a button and zip closure, and waistband with belt loops",Black
10051217,Soumya Rust Orange Solid Single Door Curtain,Soumya,Unisex,712,4,10051217,Set content: Single Door curtainColour: Rust OrangePattern: Solid DoorLight blocking: RegularFitting: EyeletLining: No,Orange
10052335,Sonata Reloaded Men White Analogue watch 7924SL12,Sonata,Men,1325,5,10052335,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Reset Time, Date ApertureStrap style: Black regular, leather strap with a tang closureWater resistance: 30 mWarranty: 1 yearWarranty provided by brand/manufacturer Comes in a signature Sonata case",White
10052699,Fastrack Men White & Black Analogue Watch 3170KL01,Fastrack,Men,2556,5,10052699,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Printed round metal dialFeatures: Reset TimeStrap style: Black regular, leather strap with a tang closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Fastrack case",Black
10052623,Sonata Women Pink Dial & Rose Gold Toned Cuff Straps Analogue Watch NL8114WM01,Sonata,Women,1999,7,10052623,"Pack Contains: single watchDisplay: analogueMovement: quartzPower Source: batteryDial style: pink solid asymmetric metal dialFeatures: reset time,Strap Style: rose gold toned, cuff, metal, has interlock closureWater resistance: 30 mComes in a signature Sonata caseWarranty: 1 yearWarranty provided by brand/ manufacturer",Pink
10053873,Miss Chase Women Black Slim Fit High-Rise Clean Look Jeans,Miss Chase,Women,879,5,10053873,"Black dark wash 5-pocket high-rise jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops",Black
10053729,Cottinfab Women Black Solid Playsuit,Cottinfab,Women,664,5,10053729,"Black solid playsuit, has a round neck, three-quarter cold-shoulder sleeves with slit, two pockets, waist drawstring, concealed zip closure",Black
10053963,Saadgi Women Blue Solid Salwar,Saadgi,Women,598,5,10053963,"Blue solid mid-rise salwar with pleated detail, has a waistband with a drawstring closure",Blue
10058401,Roadster Women Blue Skinny Fit Mid-Rise Clean Look Jeans,Roadster,Women,569,7,10058401,"Blue medium wash 5-pocket mid-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops",Blue
10050917,Soumya Beige Single Door Curtain,Soumya,Unisex,944,4,10050917,Set content: Single Door curtainColour: BeigePattern: Self Design DoorLight blocking: RegularFitting: EyeletLining: No,Beige
10036717,ColorPlus Men Yellow Tailored Fit Checked Casual Shirt,ColorPlus,Men,959,5,10036717,"Yellow checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",Red
10038613,Parx Men Black Solid Padded Jacket,Parx,Men,1839,5,10038613,"Black solid paded jacket, has a mock collar, 2 pockets, zip closure, long sleeves, straight hem",Black
10052601,Titan Women Blue Analogue Watch,Titan,Women,4396,5,10052601,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Reset Time, Reset TimeStrap style: Rose Gold-Toned bracelet style, metal strap with a foldover closureWater resistance: 30 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case",Blue
10051243,Vishudh Peach-Coloured & Grey Striped Tunic,Vishudh,Women,601,5,10051243,"Peach-Coloured and Grey printed Tunic, has a shirt collar, three-quarter sleeves, and button closure",Red
10058289,Roadster Women Blue Skinny Fit High-Rise Clean Look Stretchable Jeans,Roadster,Women,664,7,10058289,"Blue light wash 5-pocket High-Rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops",Blue
10048365,Mitera Maroon & Pink Poly Georgette Solid Saree,Mitera,Women,1349,5,10048365,"Maroon and Pink   solid saree and has an embroidered border Blouse PieceThe model is wearing a blouse from our stylist's collection, see the image for a mock-up of what the actual blouse would look like",Pink
10058469,Roadster Women Blue Skinny Fit High-Rise Low Distress Stretchable Jeans,Roadster,Women,569,7,10058469,"Blue light wash 5-pocket High-Rise jeans, low distress, light fade, has a button and zip closure, and waistband with belt loops",Blue
10052501,Titan Karishma Gents Men Black Analogue watch NL1775YL01,Titan,Men,1996,5,10052501,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Printed round metal dialFeatures: Reset TimeStrap style: Brown regular, leather strap with a tang closureWater resistance: 30 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case",Black
10051265,Vishudh Beige Checked Tunic,Vishudh,Women,601,5,10051265,"Beige checked Tunic, has a shirt collar, and three-quarter sleeves",Beige
10037147,Shaily Red & Black Cotton Blend Printed Saree,Shaily,Women,985,5,10037147,"Design Detail:Red and Black   printed saree and has an embellished border Blouse PieceThe model is wearing a blouse from our stylists collection, see the image for a mock-up of what the actual blouse would look like",Red
